,Open,High,Low,Close,Volume
2017-01-03,194.2951630733348,194.97724112010118,193.29365159666258,194.4678497314453,91366500
2017-01-04,194.79590478025963,195.77152896391962,194.78727571792442,195.624755859375,78744400
2017-01-05,195.35714508328138,195.62479097927357,194.6750669862593,195.46937561035156,78379000
2017-01-06,195.58156511925316,196.6348902835948,195.03763123995583,196.16867065429688,71559900
2017-01-09,195.90974370713732,196.0478877992009,195.48668236549716,195.52122497558594,46939700
2017-01-10,195.5384831064846,196.3759635501698,195.13269306988883,195.52122497558594,63771900
2017-01-11,195.43488494785686,196.07379150390625,194.7700780208733,196.07379150390625,74650000
2017-01-12,195.5557494104421,195.77159460846687,194.22614878723348,195.58164978027344,72113200
2017-01-13,195.75426000797762,196.33272337074413,195.71973058408247,196.03054809570312,62717900
2017-01-17,195.3917055249708,195.7974955523788,194.9513860624016,195.33990478515625,61240800
2017-01-18,195.59024493741396,195.81473233589497,195.03768185323028,195.7715606689453,54793300
2017-01-19,195.84923272080388,195.987376764899,194.61460490882422,195.04629516601562,66608800
2017-01-20,195.72836633633,196.25502899418407,195.0981022291084,195.76290893554688,129168600
2017-01-23,195.76291406722498,195.82334385622627,194.4937435826371,195.25350952148438,75061600
2017-01-24,195.46939521414495,196.91988171493335,195.3571646758191,196.50546264648438,95555300
2017-01-25,197.45511831484978,198.20626831054688,197.291073911489,198.20626831054688,84437700
2017-01-26,198.05949900367568,198.32715804870278,197.72278110576516,197.9990692138672,59970700
2017-01-27,198.0768274525588,198.2236006120313,197.5069929457979,197.6883087158203,59711100
2017-01-30,196.99758739031424,197.02348775930912,195.4780419879859,196.46229553222656,79737300
2017-01-31,195.97017575374107,196.5054808230703,195.40035442222,196.44503784179688,75880800
2017-02-01,196.44497347363748,197.36015473939247,195.93558211615368,196.52267456054688,79117700
2017-02-02,196.522630429169,196.93706248123692,195.83193669066637,196.6521453857422,69657600
2017-02-03,197.5588029297967,198.18906723125764,197.24798531176265,198.00775146484375,80563200
2017-02-06,197.6019468217754,197.9991077609571,197.31702959512992,197.65374755859375,57790100
2017-02-07,198.0422583695369,198.2840038984072,197.47242397685267,197.66236877441406,57931200
2017-02-08,197.66236988660492,198.05088854775087,197.11843585651454,197.92138671875,51566200
2017-02-09,197.92136768733826,199.39774109255882,197.92136768733826,199.09556579589844,65955200
2017-02-10,199.44089102471955,200.10569768356132,199.11280222635648,199.88121032714844,66015900
2017-02-13,200.37335103154578,201.22810248207932,200.3474506700879,200.96908569335938,55182100
2017-02-14,200.78782593570213,201.7807217067615,200.44247890394354,201.77207946777344,71109000
2017-02-15,201.55620782292402,203.0153232127471,201.50440709237412,202.82537841796875,86785800
2017-02-16,202.85125327687982,203.03256898514903,201.90154259654713,202.65267944335938,84722400
2017-02-17,201.98789930143897,202.97215270996094,201.9706279997756,202.97215270996094,77204100
2017-02-21,203.34342786314915,204.35358170974862,203.33478562462432,204.180908203125,88946100
2017-02-22,203.77508329239282,204.22403169784153,203.61103887826502,203.9995574951172,62115200
2017-02-23,204.5176001420342,204.53485826860089,203.37793142979874,204.13771057128906,74615900
2017-02-24,203.29160239869657,204.4398870064227,203.24843073375635,204.396728515625,82381600
2017-02-27,204.3104270209434,204.8888905619911,204.06005239165071,204.71621704101562,56515400
2017-02-28,204.33629348744313,204.57803901152806,203.77510134384804,204.1636199951172,96961900
2017-03-01,205.82130952261866,207.4876410025438,205.80403822111904,207.0214080810547,149158200
2017-03-02,206.8314523095236,206.84009454688626,205.66589641594808,205.7176971435547,70246000
2017-03-03,205.63132285346012,206.01121236423276,205.2514333426875,205.84716796875,81974300
2017-03-06,205.05292192225946,205.58821375534086,204.62986062486473,205.23423767089844,55391500
2017-03-07,204.9320333839673,205.28602261532427,204.41399971982818,204.6212158203125,65103700
2017-03-08,204.91473827087572,205.17375507284743,204.10315843929723,204.24130249023438,78168800
2017-03-09,204.36220687982436,204.82843983038214,203.53336879416761,204.50035095214844,90683900
2017-03-10,205.4587408220243,205.5019124991211,204.26727103971365,205.2169952392578,81991700
2017-03-13,205.15652745076886,205.3637435712909,204.82845172762308,205.32057189941406,57256800
2017-03-14,204.77661185589673,204.8284257600669,203.9218734621619,204.5348663330078,59880800
2017-03-15,205.1047261295561,206.72788613365728,204.87160964140134,206.30482482910156,96081800
2017-03-16,206.4429360696499,206.52063716195985,205.57092640517246,205.8990020751953,78344000
2017-03-17,206.16179995967553,206.35257113802876,205.53746032714844,205.53746032714844,89002100
2017-03-20,205.53746255403775,205.82361932466796,204.92180275205763,205.31201171875,52537000
2017-03-21,205.91890706214122,206.04030564367815,202.54574658430747,202.67581176757812,131809300
2017-03-22,202.7105360729405,203.43892767511824,202.08619663351524,203.15277099609375,97569200
2017-03-23,203.1528040928162,204.07196696408943,202.56315743254936,202.93601989746094,100410300
2017-03-24,203.23950426698332,203.8118044338847,202.00817173901973,202.78858947753906,112504900
2017-03-27,201.115011690091,202.8406185139592,200.83753482201902,202.58047485351562,87454500
2017-03-28,202.27696322842604,204.47948442330474,202.16423123366232,204.05459594726562,93483900
2017-03-29,203.7684772006866,204.4795224816916,203.543013169195,204.24539184570312,61950400
2017-03-30,204.18467623434705,205.09517239970486,204.01125154367315,204.89572143554688,56737900
2017-03-31,204.55755506698202,205.0865090164155,204.36678392250064,204.4188232421875,73733100
2017-04-03,204.47086407829386,204.67030184137948,202.8319760235552,204.0633087158203,85546500
2017-04-04,203.77713743738263,204.280078343088,203.39559514812635,204.193359375,56466200
2017-04-05,204.86969271906057,205.84956133200993,203.3782166767564,203.58633422851562,108800600
2017-04-06,203.72509255115142,204.67893495482306,203.28284437874893,204.15866088867188,69135800
2017-04-07,203.90724780616026,204.64431950373643,203.46501272649041,203.9506072998047,74412300
2017-04-10,204.08927636892926,204.8696940380048,203.54297606170348,204.07192993164062,67615300
2017-04-11,203.6904632871374,203.93326057345809,202.3377317686479,203.82920837402344,88045300
2017-04-12,203.5516928341111,203.74246398454034,202.71056909761606,202.93601989746094,81864400
2017-04-13,202.59783448274314,203.33490603007775,201.6179656982422,201.6179656982422,92880400
2017-04-17,202.13827125452727,203.404296875,201.93883348420877,203.404296875,68405400
2017-04-18,202.66720650587894,203.33490552214707,202.11223950353397,202.79727172851562,83225800
2017-04-19,203.36087126212757,203.7337336345912,202.1988982072169,202.4243621826172,68699900
2017-04-20,203.04003523197187,204.5141780780443,202.71919891513377,204.07192993164062,92572200
2017-04-21,203.99391375359454,204.0459398398568,203.0227248594819,203.42160034179688,110389800
2017-04-24,205.66749533983582,205.8669463260892,203.39560120797648,205.65882873535156,119209900
2017-04-25,206.3005169921576,207.2023334323872,206.2137980205294,206.85548400878906,76698300
2017-04-26,206.82075787532534,207.70524096418976,206.68202606706552,206.72537231445312,84702500
2017-04-27,207.04626115817643,207.2023394338791,206.36121566426073,206.8988494873047,57410300
2017-04-28,207.15893639427176,207.1849494347533,206.31781280148894,206.44789123535156,63532800
2017-05-01,206.9681854248047,207.39308717979222,206.55196350512594,206.9681854248047,66882500
2017-05-02,207.10692681966847,207.22832542874272,206.6386788222267,207.04623413085938,57375700
2017-05-03,207.04624635526116,207.1416319274124,206.11840367783955,206.79476928710938,73137700
2017-05-04,207.09824253617649,207.17628165717863,206.1877464301199,207.03753662109375,61462700
2017-05-05,207.41041095964437,207.8699923112897,206.9681628138105,207.85264587402344,62001300
2017-05-08,207.89604755921138,208.04345922726574,207.39310662801898,207.81800842285156,48385700
2017-05-09,208.07811201903442,208.27754973957022,207.28033467398123,207.627197265625,51363200
2017-05-10,207.58386961040986,208.00009155273438,207.3757520235191,208.00009155273438,54293800
2017-05-11,207.54918226903493,207.73995340874978,206.49127439660043,207.5751953125,62358300
2017-05-12,207.32371808931455,207.6185414026606,206.95952224963003,207.22833251953125,53912700
2017-05-15,207.65323026082854,208.4943539331432,207.63588382171568,208.37295532226562,61918900
2017-05-16,208.66776910395944,208.6937821457131,207.79196582485682,208.1821746826172,51241800
2017-05-17,208.18218739791666,208.18218739791666,204.42748377516224,204.48818969726562,172174100
2017-05-18,204.41018191468035,206.16180219332924,204.15003819306568,205.31201171875,107047700
2017-05-19,205.7975638266799,207.31505311972367,205.74553773938,206.64735412597656,115011400
2017-05-22,207.15896046579584,207.8613523347789,207.08960117075563,207.69659423828125,61010600
2017-05-23,208.06948524574335,208.32096234274778,207.6879429133631,208.1562042236328,48341700
2017-05-24,208.39029033859103,208.7458063164518,208.05209433598128,208.64175415039062,46927700
2017-05-25,209.15338258518736,209.91646716338164,208.94527823219389,209.63897705078125,64071700
2017-05-26,209.44818669380922,209.76035642612135,209.37014756859512,209.59561157226562,46629900
2017-05-30,209.2747528872763,209.6649617278017,209.11867464364815,209.4134979248047,35201900
2017-05-31,209.70831480588197,209.7430076799328,208.6677535190861,209.36146545410156,91796000
2017-06-01,209.82110850826803,211.04377466478329,209.5349517547352,211.02642822265625,68962000
2017-06-02,211.0784072611607,211.88485124705335,210.78358396801957,211.728759765625,88666100
2017-06-05,211.55536168944082,211.8415184151761,211.373257143443,211.5727081298828,44698800
2017-06-06,211.00902003172516,211.56398693426056,210.81824891852972,210.89630126953125,50375400
2017-06-07,211.23451871156217,211.51199559267457,210.56681970571725,211.2865447998047,54144300
2017-06-08,211.38192787830263,211.86752233811313,210.86164053910187,211.39059448242188,65950700
2017-06-09,211.6593792299721,212.4571433508012,209.80370735008688,211.06973266601562,132256400
2017-06-12,210.82699044830008,211.07845431757883,210.17663779885052,211.02642822265625,86108100
