,Open,High,Low,Close,Volume
2017-01-03,6528.0,6572.7998046875,6310.39990234375,6316.7998046875,7877
2017-01-04,6249.60009765625,6249.60009765625,5929.60009765625,5996.7998046875,5770
2017-01-05,6048.0,6153.60009765625,5968.0,5971.2001953125,8115
2017-01-06,5910.39990234375,5961.60009765625,5772.7998046875,5897.60009765625,9419
2017-01-09,5923.2001953125,5977.60009765625,5792.0,5878.39990234375,6447
2017-01-10,5820.7998046875,5923.2001953125,5772.7998046875,5840.0,6560
2017-01-11,5846.39990234375,5955.2001953125,5699.2001953125,5715.2001953125,11705
2017-01-12,5760.0,6006.39990234375,5708.7998046875,5718.39990234375,10534
2017-01-13,5689.60009765625,5788.7998046875,5648.0,5728.0,9288
2017-01-17,5804.7998046875,5820.7998046875,5683.2001953125,5702.39990234375,9490
2017-01-18,5670.39990234375,5708.7998046875,5600.0,5680.0,7971
2017-01-19,5648.0,5792.0,5625.60009765625,5744.0,8947
2017-01-20,5680.0,5699.2001953125,5516.7998046875,5520.0,11685
2017-01-23,5523.2001953125,5625.60009765625,5468.7998046875,5472.0,9488
2017-01-24,5408.0,5408.0,5190.39990234375,5216.0,8332
2017-01-25,5139.2001953125,5161.60009765625,5068.7998046875,5088.0,6485
2017-01-26,5110.39990234375,5174.39990234375,5062.39990234375,5123.2001953125,5802
2017-01-27,5104.0,5145.60009765625,5046.39990234375,5065.60009765625,6606
2017-01-30,5168.0,5417.60009765625,5164.7998046875,5206.39990234375,16565
2017-01-31,5251.2001953125,5340.7998046875,5174.39990234375,5177.60009765625,10870
2017-02-01,5078.39990234375,5155.2001953125,5033.60009765625,5091.2001953125,9821
2017-02-02,5132.7998046875,5177.60009765625,5081.60009765625,5132.7998046875,8111
2017-02-03,5030.39990234375,5062.39990234375,4976.0,5020.7998046875,6942
2017-02-06,5084.7998046875,5091.2001953125,4998.39990234375,5030.39990234375,5551
2017-02-07,5017.60009765625,5068.7998046875,5004.7998046875,5062.39990234375,5431
2017-02-08,5078.39990234375,5139.2001953125,5011.2001953125,5040.0,6842
2017-02-09,5017.60009765625,5024.0,4889.60009765625,4937.60009765625,5778
2017-02-10,4883.2001953125,4892.7998046875,4822.39990234375,4851.2001953125,6403
2017-02-13,4774.39990234375,4784.0,4688.0,4700.7998046875,7378
2017-02-14,4697.60009765625,4704.0,4499.2001953125,4499.2001953125,8778
2017-02-15,4499.2001953125,4656.0,4473.60009765625,4652.7998046875,12884
2017-02-16,4646.39990234375,4908.7998046875,4633.60009765625,4675.2001953125,17850
