,equity
2018-05-24,100000.0
2018-05-25,100193.81710357081
2018-05-29,98913.23196196095
2018-05-30,101023.50743793393
2018-05-31,100807.07966291718
2018-06-01,105496.62964663599
2018-06-04,108202.13564333244
2018-06-05,109320.38190720392
2018-06-06,111124.06941504564
2018-06-07,108544.8165630708
2018-06-08,108472.66675280822
2018-06-11,109320.38190720392
2018-06-12,111051.9268233734
2018-06-13,110925.66646006149
2018-06-14,114298.53113197305
2018-06-15,113162.20951793673
2018-06-18,112909.68879131289
2018-06-19,111899.64919635946
2018-06-20,114244.41336033339
2018-06-21,111286.38663701309
2018-06-22,110168.14037314159
2018-06-25,103133.80456967789
2018-06-26,104182.35527523546
2018-06-27,102113.1365693564
2018-06-28,103378.40381593851
2018-06-29,103632.65045654052
2018-07-02,104836.55258712216
2018-07-03,100689.37116006964
2018-07-05,103513.40762611124
2018-07-06,105842.57414156065
2018-07-09,107917.02428953523
2018-07-10,108174.8722400218
2018-07-11,106593.41398319018
2018-07-12,111853.47089542917
2018-07-13,112180.08747219812
2018-07-16,111423.72201808008
2018-07-17,113486.48498312914
2018-07-18,112764.53824022465
2018-07-19,111097.07792285322
2018-07-20,110942.42418947707
2018-07-23,111905.02672629751
2018-07-24,113331.7693332227
2018-07-25,118058.9588267614
2018-07-26,112902.03421510257
2018-07-27,108192.05751697789
2018-07-30,105855.56489554216
2018-07-31,106898.9385040492
2018-08-01,107635.06301378082
2018-08-02,109817.39986006689
2018-08-03,110508.72040342724
2018-08-06,112538.5326210933
2018-08-07,113638.0720648355
2018-08-08,113942.51241766241
2018-08-09,113841.08645888872
2018-08-10,111185.33350245516
2018-08-13,110863.90758491307
2018-08-14,112910.71890700315
2018-08-15,108800.22578563278
2018-08-16,109798.25803234837
2018-08-17,109781.34693603167
2018-08-20,109561.44175522501
2018-08-21,110694.78985189176
2018-08-22,111980.3648948264
2018-08-23,111422.16331928739
2018-08-24,114517.67924835342
2018-08-27,117968.42297803175
2018-08-28,118492.82944035501
2018-08-29,122637.10413523232
2018-08-30,121943.57317003333
2018-08-31,122298.80097064559
2018-09-04,120844.0675755632
2018-09-05,116040.07056841145
2018-09-06,112876.87640480656
2018-09-07,111143.28084561846
2018-09-10,111642.9083139711
2018-09-11,112902.67797754591
2018-09-12,112413.57788824788
2018-09-13,114750.6397525386
2018-09-14,113876.06743786257
2018-09-17,109074.17487518552
2018-09-18,110468.46216143527
2018-09-19,110350.74245034716
2018-09-20,112079.92269919104
2018-09-21,111200.20708476419
2018-09-24,111715.14591383269
2018-09-25,111944.59702696846
2018-09-26,111893.08431921968
2018-09-27,113441.11654339483
2018-09-28,113739.75049402143
2018-10-01,114395.24931486716
2018-10-02,113739.75049402143
2018-10-03,114075.49191970403
2018-10-04,110125.8878428837
2018-10-05,108059.98243989902
2018-10-08,107108.92222214909
2018-10-09,107525.84340513588
2018-10-10,100502.90623007141
2018-10-11,98964.76344000228
2018-10-12,99650.14110531162
2018-10-15,99374.5973449882
2018-10-16,100461.87589853833
2018-10-17,100475.26543988627
2018-10-18,97413.24466218904
2018-10-19,97405.36544757296
2018-10-22,97984.45782726529
2018-10-23,97511.84845739594
2018-10-24,93380.15992718772
2018-10-25,94973.98624199547
2018-10-26,94138.57412800894
2018-10-29,93886.89842863877
2018-10-30,94587.26821235562
2018-10-31,95100.41789804542
2018-11-01,96258.44316823134
2018-11-02,94427.489298967
2018-11-05,93968.59846582112
2018-11-06,94968.48989262964
2018-11-07,99313.63516012677
2018-11-08,98453.9382561704
2018-11-09,95944.54708305968
2018-11-12,91711.94817868428
2018-11-13,91858.5632123362
2018-11-14,90610.57469208707
2018-11-15,92067.13181390912
2018-11-16,92107.52438589891
2018-11-19,87662.50628053208
2018-11-20,85214.52432897504
2018-11-21,86450.18266342027
2018-11-23,86165.98672555579
2018-11-26,86864.21215156442
2018-11-27,87014.49535549188
2018-11-28,88019.23265733296
2018-11-29,87984.59952421019
2018-11-30,88908.89588423148
2018-12-03,91239.17646987754
2018-12-04,86200.00766800623
2018-12-06,85648.16399188383
2018-12-07,83031.7916401427
2018-12-10,83011.80128485063
2018-12-11,83029.40614120779
2018-12-12,83240.85750208027
2018-12-13,83230.37606296134
2018-12-14,82464.79850084419
2018-12-17,81331.51619750322
2018-12-18,81427.58055152878
2018-12-19,80353.72948510325
2018-12-20,79513.94311230411
2018-12-21,78737.6262220242
2018-12-24,77929.81831584705
2018-12-26,79304.81148422621
2018-12-27,79517.23304181552
2018-12-28,79398.30038628151
2018-12-31,79666.2821370567
2019-01-02,79853.06401275247
2019-01-03,77794.37132182228
2019-01-04,80172.66442893488
2019-01-07,80921.5622597414
2019-01-08,81710.55400916623
2019-01-09,82290.39038905126
2019-01-10,82849.50175048443
2019-01-11,82452.89090728856
2019-01-14,81544.76128336135
2019-01-15,83439.71603977241
2019-01-16,83517.11290141492
2019-01-17,84373.60574660296
2019-01-18,85428.59549946038
2019-01-22,83414.64659697842
2019-01-23,83569.96000727311
2019-01-24,84048.70755032093
2019-01-25,85320.48620753526
2019-01-28,83994.4038834208
2019-01-29,83037.40318030182
2019-01-30,85617.23144831421
2019-01-31,87206.89023441414
2019-02-01,86763.0435633602
2019-02-04,88098.5464826778
2019-02-05,89231.63642220237
2019-02-06,88884.61922235088
2019-02-07,87071.57085720036
2019-02-08,87093.18712606034
2019-02-11,86928.38307554796
2019-02-12,88797.80933124662
2019-02-13,88902.46604682606
2019-02-14,89075.89269238929
2019-02-15,89623.12240816196
2019-02-19,89901.26287240753
2019-02-20,89870.60386467562
2019-02-21,89365.4982244667
2019-02-22,90337.61387429404
2019-02-25,90854.0793661022
2019-02-26,91004.00820303356
2019-02-27,90866.83564770652
2019-02-28,90586.48864327189
2019-03-01,91497.52386662079
2019-03-04,91516.82450776466
2019-03-05,91634.46879931289
2019-03-06,90849.97198437768
2019-03-07,89392.4831022968
2019-03-08,89216.7645795574
2019-03-11,91574.40982674962
2019-03-12,92275.95787917389
2019-03-13,93280.6141502852
2019-03-14,93079.04777924571
2019-03-15,94233.50795001905
2019-03-18,94663.83087156073
2019-03-19,95146.31702336029
2019-03-20,95699.57385456545
2019-03-21,97929.87812907164
2019-03-22,94698.6319057055
2019-03-25,94368.61032301784
2019-03-26,94968.79527834794
2019-03-27,94180.78611780397
2019-03-28,94456.76987994248
