,equity
2018-05-24,100000.0
2018-05-25,100141.22499611766
2018-05-29,99323.31840278715
2018-05-30,100468.60996370339
2018-05-31,100359.30664018838
2018-06-01,102983.57350329713
2018-06-04,104638.32203046177
2018-06-05,105352.14008817228
2018-06-06,106599.0749696183
2018-06-07,104744.9358926609
2018-06-08,104694.99039139596
2018-06-11,105303.83593168775
2018-06-12,106545.11726692005
2018-06-13,106456.71958364078
2018-06-14,108873.04496798957
2018-06-15,108061.5942527431
2018-06-18,107883.05236911161
2018-06-19,107162.09676782822
2018-06-20,108770.7175812231
2018-06-21,106883.25303108992
2018-06-22,106266.48137219322
2018-06-25,101946.2733707217
2018-06-26,102648.59964804183
2018-06-27,100473.7971306787
2018-06-28,101553.05372261174
2018-06-29,101759.5594153404
2018-07-02,102748.95235919885
2018-07-03,101098.67655496558
2018-07-05,102741.83281190298
2018-07-06,105005.1798280665
2018-07-09,106543.05815975447
2018-07-10,106677.93383521908
2018-07-11,105806.65679276656
2018-07-12,109226.0125532384
2018-07-13,109452.1647687655
2018-07-16,108909.74454154591
2018-07-17,110390.87352491106
2018-07-18,109906.49342374971
2018-07-19,108790.88332357034
2018-07-20,108708.19204833484
2018-07-23,109295.85901732574
2018-07-24,110250.17887514451
2018-07-25,113159.72369169183
2018-07-26,109985.67402630064
2018-07-27,107432.62029454217
2018-07-30,105148.97125236597
2018-07-31,106067.61050553733
2018-08-01,106814.47887831945
2018-08-02,108977.55975180375
2018-08-03,109474.03423446818
2018-08-06,110673.39461127075
2018-08-07,111309.64591819841
2018-08-08,111522.845545278
2018-08-09,111455.3805188213
2018-08-10,109679.21435915702
2018-08-13,109530.58023715118
2018-08-14,110797.38992337458
2018-08-15,108294.74762242919
2018-08-16,109022.31716174386
2018-08-17,109061.39927712406
2018-08-20,108931.67739974233
2018-08-21,109599.15296416648
2018-08-22,110346.15218762308
2018-08-23,110028.81478913518
2018-08-24,111946.81129091188
2018-08-27,114142.53452886792
2018-08-28,114475.45178400022
2018-08-29,117232.64980181461
2018-08-30,116773.63680096924
2018-08-31,116981.13979303514
2018-09-04,116045.81481319442
2018-09-05,112963.6012871696
2018-09-06,111161.93919426456
2018-09-07,110489.40704985532
2018-09-10,111000.96664731854
2018-09-11,112315.51275500206
2018-09-12,111818.02840472208
2018-09-13,113567.72039904163
2018-09-14,113016.49087581667
2018-09-17,110058.3199596566
2018-09-18,111523.76167675626
2018-09-19,111379.02264999687
2018-09-20,113510.42034772177
2018-09-21,112277.0648936076
2018-09-24,112913.31143110298
2018-09-25,113217.18224892842
2018-09-26,113155.33428033437
2018-09-27,115225.0933419225
2018-09-28,115133.32561082917
2018-10-01,115557.82422215582
2018-10-02,115091.58393955263
2018-10-03,115393.0627578992
2018-10-04,110833.62769104989
2018-10-05,108572.32125736821
2018-10-08,107618.61420767922
2018-10-09,107831.92211131124
2018-10-10,104699.76953960619
2018-10-11,104005.10753825855
2018-10-12,105259.72638324829
2018-10-15,104617.98165376221
2018-10-16,106223.84242725841
2018-10-17,106232.91968453488
2018-10-18,104735.62282065552
2018-10-19,104634.01191000943
2018-10-22,104965.94394018866
2018-10-23,104757.46486281394
2018-10-24,102064.20552405893
2018-10-25,103116.98282342259
2018-10-26,102703.53684906385
2018-10-29,102580.52020335133
2018-10-30,102933.84967237328
2018-10-31,103194.27289428365
2018-11-01,103456.4508953398
2018-11-02,103272.51126289507
2018-11-05,103436.36660518718
2018-11-06,103624.28566681448
2018-11-07,104248.05779949072
2018-11-08,103978.71010093181
2018-11-09,102356.46442230155
2018-11-12,99677.1998004811
2018-11-13,99886.06609334663
2018-11-14,99697.42244606256
2018-11-15,99999.8736654711
2018-11-16,100080.90724835268
2018-11-19,99601.63575898332
2018-11-20,99102.5063831625
2018-11-21,99201.38481813754
2018-11-23,99073.338694351
2018-11-26,99405.82870147159
2018-11-27,99515.88403990626
2018-11-28,100101.310605361
2018-11-29,100054.37625200566
2018-11-30,100237.9400503255
2018-12-03,100631.41737492329
2018-12-04,99678.37490933144
2018-12-06,99641.58159395325
2018-12-07,98983.45752067759
2018-12-10,99025.56075858657
2018-12-11,99037.68928009663
2018-12-12,99156.04546902701
2018-12-13,99155.77737949783
2018-12-14,98716.56893945287
2018-12-17,98222.8110629158
2018-12-18,98235.31436240474
2018-12-19,97930.18344382077
2018-12-20,97603.00873399037
2018-12-21,97291.18411594743
2018-12-24,96877.03077765903
2018-12-26,97669.5611729988
2018-12-27,97802.55195445125
2018-12-28,97788.9149913534
