,hedged
2018-05-24,100000.0
2018-05-25,100145.17880879498
2018-05-29,99236.79114115273
2018-05-30,100476.61295260319
2018-05-31,100362.09502979145
2018-06-01,103078.57549488341
2018-06-04,104772.18816937
2018-06-05,105496.74754756596
2018-06-06,106696.60920170532
2018-06-07,104851.93996416978
2018-06-08,104801.83318568279
2018-06-11,105405.26245903433
2018-06-12,106659.69984190734
2018-06-13,106569.57987429616
2018-06-14,109030.48760179873
2018-06-15,108203.9906805557
2018-06-18,108021.82594362144
2018-06-19,107287.35872379532
2018-06-20,108957.60063782075
2018-06-21,106880.73892197518
2018-06-22,106210.22539705984
2018-06-25,101491.48946370679
2018-06-26,102212.48127630813
2018-06-27,99690.46075118179
2018-06-28,100166.17736516656
2018-06-29,99992.08643225685
2018-07-02,99938.86794663958
2018-07-03,97533.66521428015
2018-07-05,99110.14564410824
2018-07-06,100446.06197787636
2018-07-09,101736.83941270507
2018-07-10,101898.4883998706
2018-07-11,100839.41811601707
2018-07-12,104201.02081826972
2018-07-13,104420.57942281717
2018-07-16,103913.95132298759
2018-07-17,105305.4636720847
2018-07-18,104820.62197985033
2018-07-19,103700.01710088328
2018-07-20,103609.77893951733
2018-07-23,104248.30678804046
2018-07-24,105157.67627973211
2018-07-25,108334.7272836181
2018-07-26,104950.79294665939
2018-07-27,101831.54201245759
2018-07-30,98952.28928813039
2018-07-31,99818.93953174823
2018-08-01,100218.52602545344
2018-08-02,101441.6695803171
2018-08-03,101856.12123603481
2018-08-06,103185.21691326672
2018-08-07,103893.70593721457
2018-08-08,104099.00318938398
2018-08-09,104024.32255814117
2018-08-10,102228.5440788566
2018-08-13,102080.41122402916
2018-08-14,103219.04438423747
2018-08-15,100912.9663592898
2018-08-16,101536.83153919586
2018-08-17,101557.63001978128
2018-08-20,101378.10635181282
2018-08-21,102091.7342951847
2018-08-22,102909.80429754397
2018-08-23,102554.50955229647
2018-08-24,104581.0535536598
2018-08-27,106882.65244317536
2018-08-28,107225.81351670876
2018-08-29,109882.99591618453
2018-08-30,109443.28428232663
2018-08-31,109632.33372548014
2018-09-04,108755.13865735182
2018-09-05,105787.33643944292
2018-09-06,103957.29754038338
2018-09-07,103302.76852911938
2018-09-10,103811.38843533618
2018-09-11,105327.35416985197
2018-09-12,104702.6271855907
2018-09-13,106815.2911296999
2018-09-14,106193.78916478078
2018-09-17,102910.74802172223
2018-09-18,104597.6055619785
2018-09-19,104423.69450295906
2018-09-20,106844.73182537047
2018-09-21,105554.86765307964
2018-09-24,106243.79972210412
2018-09-25,106550.70274259476
2018-09-26,106466.28582988429
2018-09-27,108645.29184949213
2018-09-28,108509.26658302498
2018-10-01,108982.09093777314
2018-10-02,108513.2064475891
2018-10-03,108746.69704729688
2018-10-04,104131.1871929078
2018-10-05,101455.76170502632
2018-10-08,100354.1308737702
2018-10-09,100561.24496633884
2018-10-10,96928.15193482695
2018-10-11,96146.7078365797
2018-10-12,97254.31907049437
