,vixy_hedged
2018-05-24,100000.0
2018-05-25,100179.49161059834
2018-05-29,99665.7026589335
2018-05-30,100701.8421610733
2018-05-31,100633.72433206646
2018-06-01,103131.22360694378
2018-06-04,104641.9120222425
2018-06-05,105311.43702254044
2018-06-06,106361.44668777745
2018-06-07,104614.00823182036
2018-06-08,104546.07040975761
2018-06-11,105091.65478717323
2018-06-12,106295.56955060645
2018-06-13,106245.7471686291
2018-06-14,108541.52798255041
2018-06-15,107763.4566059284
2018-06-18,107551.31085562658
2018-06-19,106973.14189027196
2018-06-20,108528.8297126958
2018-06-21,106701.16960189128
2018-06-22,105969.1390883292
2018-06-25,101821.61079418226
2018-06-26,102439.90508800454
2018-06-27,100078.99157136539
2018-06-28,100548.30686719128
2018-06-29,100323.4728734579
2018-07-02,100311.4062394892
2018-07-03,97955.77684482257
2018-07-05,99436.3799272531
2018-07-06,100635.36655026552
2018-07-09,101760.14514256307
2018-07-10,101872.00184874785
2018-07-11,100923.97857081168
2018-07-12,104117.41178703778
2018-07-13,104306.07199109606
2018-07-16,103795.65904641428
2018-07-17,105123.74173680722
2018-07-18,104629.83015898422
2018-07-19,103585.13383437491
2018-07-20,103505.95611957961
2018-07-23,104118.66141222803
2018-07-24,104955.51419444774
2018-07-25,108044.66156372947
2018-07-26,104691.85544414683
2018-07-27,101609.25681652533
2018-07-30,98733.44636964453
2018-07-31,99615.67391873212
2018-08-01,100046.77123799069
2018-08-02,101376.86855387255
2018-08-03,101771.00285845924
2018-08-06,102979.91472136158
2018-08-07,103643.25395358365
2018-08-08,103808.81456783549
2018-08-09,103783.9065055418
2018-08-10,102159.19919417391
2018-08-13,102212.86047117566
2018-08-14,103188.60889951796
2018-08-15,101106.56549521556
2018-08-16,101565.27767517231
2018-08-17,101520.54372667357
2018-08-20,101294.53607380643
2018-08-21,102065.59224672186
2018-08-22,102823.37265815778
2018-08-23,102455.90814723179
2018-08-24,104471.9639044882
2018-08-27,106746.89264018211
2018-08-28,107089.23654481894
2018-08-29,109696.55276519738
2018-08-30,109327.33247403688
2018-08-31,109473.60845583827
2018-09-04,108624.7399854318
2018-09-05,105728.19317805566
2018-09-06,104020.76952225239
2018-09-07,103427.97452610199
2018-09-10,103870.8918029721
2018-09-11,105288.88050726021
2018-09-12,104652.80158279547
2018-09-13,106637.80599114983
2018-09-14,105980.48681638883
2018-09-17,102857.69454478819
2018-09-18,104507.25641925643
2018-09-19,104234.23360640345
2018-09-20,106540.2219828652
2018-09-21,105290.75243229787
2018-09-24,105959.48863269122
2018-09-25,106304.37780159258
2018-09-26,106259.52702422345
2018-09-27,108365.74679927561
2018-09-28,108238.23836480439
2018-10-01,108668.75011874695
2018-10-02,108215.0116960714
2018-10-03,108423.23156668784
2018-10-04,104034.8763147608
2018-10-05,101425.67759014023
2018-10-08,100356.39490392683
2018-10-09,100676.17356544654
2018-10-10,97174.55569116105
2018-10-11,96634.97755866015
2018-10-12,97801.95456094948
2018-10-15,97712.4615230034
2018-10-16,98040.50366391099
2018-10-17,98094.8801651697
2018-10-18,97949.87145445935
2018-10-19,97451.53887361304
2018-10-22,97816.25924569339
2018-10-23,97759.79175739145
2018-10-24,95001.8859690144
2018-10-25,96013.79424157288
2018-10-26,95814.1247321488
2018-10-29,95701.74851245302
2018-10-30,95922.33851149346
2018-10-31,96064.28687556004
2018-11-01,96240.1764545861
2018-11-02,96106.56011469262
2018-11-05,96228.42463020828
2018-11-06,96308.44310318273
2018-11-07,96691.85582321996
2018-11-08,96631.80145014198
2018-11-09,96387.54931677836
2018-11-12,95987.10354519288
2018-11-13,95977.01707740223
2018-11-14,95102.29640956873
2018-11-15,95359.10138104908
2018-11-16,95293.49219436693
2018-11-19,95025.57597481036
2018-11-20,94729.9854596282
2018-11-21,94754.05702085752
2018-11-23,94629.66390776816
2018-11-26,94833.19486548447
2018-11-27,94888.21444669343
2018-11-28,95417.28056981582
2018-11-29,95415.51466360244
2018-11-30,95508.99693630065
2018-12-03,95729.83415477499
2018-12-04,95063.6895767693
2018-12-06,96073.29103303603
2018-12-07,94481.46700857546
2018-12-10,94436.99326515729
2018-12-11,94433.87003972293
2018-12-12,94520.3947271492
2018-12-13,94471.55716489193
2018-12-14,94180.55722807044
2018-12-17,93884.54617226371
2018-12-18,93919.49607833794
2018-12-19,93642.90440169642
2018-12-20,93520.44187487247
2018-12-21,93411.99437715826
2018-12-24,93207.78375667245
2018-12-26,93647.13364559339
2018-12-27,93852.58387456812
2018-12-28,93825.51409425146
2018-12-31,93853.68890077466
2019-01-02,93862.97419322193
2019-01-03,93545.80489912552
2019-01-04,93945.7560632641
2019-01-07,94068.81025376142
2019-01-08,94232.4333647234
2019-01-09,94288.50344592865
2019-01-10,94350.23602999657
2019-01-11,94290.32389228052
2019-01-14,93815.70366067137
2019-01-15,94758.26895055268
2019-01-16,94803.61482210891
2019-01-17,95192.19815649676
2019-01-18,95686.52732596397
2019-01-22,94700.60841068336
2019-01-23,94756.96809057638
2019-01-24,94994.94602069019
2019-01-25,95557.97136496122
2019-01-28,95032.77207688546
2019-01-29,94498.73423563603
2019-01-30,95699.58737559477
2019-01-31,96370.77572336822
2019-02-01,96084.15322963738
2019-02-04,96722.55638799137
2019-02-05,97292.08589067926
2019-02-06,97075.54821119708
2019-02-07,96248.08803836307
2019-02-08,96284.97194642763
2019-02-11,96218.68913718307
2019-02-12,97138.86615084148
2019-02-13,97154.97225394328
2019-02-14,97289.19941769655
2019-02-15,97545.03864416575
2019-02-19,97731.20999189348
2019-02-20,97623.84655010789
2019-02-21,97342.08773486226
2019-02-22,97843.89914314596
2019-02-25,98190.15472930935
2019-02-26,98299.0976616074
2019-02-27,98209.79275752346
2019-02-28,98045.70039698231
2019-03-01,98441.11253688633
2019-03-04,98466.7545223998
2019-03-05,98557.41664517409
2019-03-06,98181.88241891493
2019-03-07,97369.98588877742
2019-03-08,97194.29071102907
2019-03-11,98398.19457740788
2019-03-12,98729.74041896354
2019-03-13,99283.76597329418
2019-03-14,99115.54676398898
2019-03-15,99744.84901201866
2019-03-18,100012.48157633217
2019-03-19,100342.95505192188
2019-03-20,100724.5941041237
2019-03-21,102089.55476079212
2019-03-22,100242.883794439
2019-03-25,100038.30515699454
2019-03-26,100252.17429250175
2019-03-27,99709.84006030869
2019-03-28,99830.86067851934
2019-03-29,100374.64449436625
2019-04-01,101565.6749601844
2019-04-02,101951.05299687639
2019-04-03,102616.37846910584
2019-04-04,102494.78935335371
2019-04-05,103447.89694856945
2019-04-08,103989.80334113739
2019-04-09,103323.31387346677
2019-04-10,104323.35855640202
2019-04-11,103738.93805401589
2019-04-12,104459.35685674463
2019-04-15,104486.51055564311
2019-04-16,105194.01614295009
2019-04-17,105934.95776477028
2019-04-18,106130.45187710045
2019-04-22,106715.58168515608
2019-04-23,109413.9618317914
2019-04-24,108755.28139739872
2019-04-25,109654.56607991504
2019-04-26,109854.65803758753
2019-04-29,110291.33360787311
2019-04-30,108608.86073183258
2019-05-01,108007.96301243869
2019-05-02,107265.99714051987
2019-05-03,110000.22257551737
2019-05-06,109430.9474043407
2019-05-07,106003.2798815973
2019-05-08,105352.2106274148
2019-05-09,104635.3283049333
2019-05-10,104442.09586691095
2019-05-13,100698.56810340582
2019-05-14,101150.27124590214
2019-05-15,101924.6380618209
2019-05-16,102494.4605254542
2019-05-17,101799.04848652649
2019-05-20,100519.39978184568
2019-05-21,101098.7892095453
2019-05-22,100756.80270971154
2019-05-23,99714.98844758258
