,sleeve_equity
2018-05-24,100000.0
2018-05-25,100016.0723075887
2018-05-29,100963.82966548567
2018-05-30,100700.35970672454
2018-05-31,100617.5068334376
2018-06-01,100339.67507361737
2018-06-04,99990.09177051886
2018-06-05,100116.48966389406
2018-06-06,99766.92216692914
2018-06-07,100190.68310904308
2018-06-08,100063.57530918205
2018-06-11,99987.53577199046
2018-06-12,100002.68342364623
2018-06-13,99985.01470277837
2018-06-14,100350.38936205662
2018-06-15,100394.72678236917
2018-06-18,100358.84136392461
2018-06-19,100618.41614352961
2018-06-20,100204.68445307224
2018-06-21,100454.15414077825
2018-06-22,100454.6401750957
2018-06-25,100558.8736013319
2018-06-26,100626.02263903982
2018-06-27,101052.85879854264
2018-06-28,101066.79251249842
2018-06-29,100893.34628067276
2018-07-02,100856.9038155591
2018-07-03,101135.39154424236
2018-07-05,101287.14191101241
2018-07-06,101459.97533480763
2018-07-09,101124.07385206284
2018-07-10,101122.86763399464
2018-07-11,101343.24876278013
2018-07-12,101342.05636360214
2018-07-13,101488.56772514891
2018-07-16,101256.61240274548
2018-07-17,101153.88123775236
2018-07-18,100931.24507615546
2018-07-19,101272.94926424162
2018-07-20,100636.28302250462
2018-07-23,100003.86342939115
2018-07-24,100160.20382727584
2018-07-25,100093.16436561829
2018-07-26,100011.07739655464
2018-07-27,100090.44906579588
2018-07-30,99940.76700839921
2018-07-31,100189.08845555043
2018-08-01,99827.27794925467
2018-08-02,99895.58319776053
2018-08-03,100121.93071412735
2018-08-06,100152.56578853806
2018-08-07,99923.56255309113
2018-08-08,99973.12104696024
2018-08-09,100353.84609213591
2018-08-10,100685.63229313024
2018-08-13,100600.2050451555
2018-08-14,100493.39248142968
2018-08-15,100784.95416677666
2018-08-16,100784.9566769401
2018-08-17,100850.64707673478
2018-08-20,101187.301233709
2018-08-21,101022.98607359255
2018-08-22,101224.21618230756
2018-08-23,101306.38270691229
2018-08-24,101409.03940669692
2018-08-27,101118.35566400454
2018-08-28,100798.5841035474
2018-08-29,100869.59797507877
2018-08-30,100980.58649396949
2018-08-31,100869.80127981634
2018-09-04,100586.71300142049
2018-09-05,100459.24220727637
2018-09-06,100633.1106214375
2018-09-07,100245.29877573685
2018-09-10,100419.02526727668
2018-09-11,100073.52667263662
2018-09-12,100185.77335537277
2018-09-13,100259.56752248995
2018-09-14,100044.84014223694
2018-09-17,100049.38411008318
2018-09-18,99577.02697874405
2018-09-19,99327.79377776996
2018-09-20,99522.5073140048
2018-09-21,99509.84519478625
2018-09-24,99409.30505436497
2018-09-25,99372.03826045911
2018-09-26,99665.28954569006
2018-09-27,99698.4032743351
2018-09-28,99594.39031928196
2018-10-01,99296.76795758122
2018-10-02,99551.89560550087
2018-10-03,98841.82827057812
2018-10-04,98563.79167199627
2018-10-05,98253.42265880044
2018-10-08,98145.76585855853
2018-10-09,98482.28172244687
2018-10-10,98397.9840613307
2018-10-11,98804.29407007704
2018-10-12,98695.61925091248
2018-10-15,98684.67987843568
2018-10-16,98775.04830994601
2018-10-17,98558.39127198959
2018-10-18,98550.84792662563
2018-10-19,98474.6601843251
2018-10-22,98431.18311699788
2018-10-23,98554.2613484001
2018-10-24,98840.75023194373
2018-10-25,98689.53138985221
2018-10-26,98920.45641870318
2018-10-29,98841.08496896492
2018-10-30,98660.37328466028
2018-10-31,98476.48760282493
2018-11-01,98516.41090080739
2018-11-02,98060.24420717268
2018-11-05,98210.15351897747
2018-11-06,98196.594965718
2018-11-07,98244.65512655993
2018-11-08,98247.9782856172
2018-11-09,98488.98710024107
2018-11-12,98702.00177986847
2018-11-13,98703.06339658247
2018-11-14,98731.8779735997
2018-11-15,98720.8547305986
2018-11-16,98945.8020535759
2018-11-19,99057.70557726861
2018-11-20,99076.56520917726
2018-11-21,99068.89431841727
2018-11-23,99114.45665944982
2018-11-26,99033.71503334297
2018-11-27,99082.5814023492
2018-11-28,98902.1279300011
2018-11-29,99057.33761415651
2018-11-30,99205.84454739372
2018-12-03,99483.57723725797
2018-12-04,100165.24810029587
2018-12-06,100288.92396327565
2018-12-07,100383.08935504827
2018-12-10,100586.8999762313
2018-12-11,100583.60312228272
2018-12-12,100373.36001200016
2018-12-13,100264.60819007778
2018-12-14,100435.99020527759
2018-12-17,100721.02799401828
2018-12-18,101015.6424544827
2018-12-19,101697.65577622343
2018-12-20,101460.06744715737
2018-12-21,101454.58569491972
2018-12-24,101744.90186498122
2018-12-26,101128.71004621577
2018-12-27,101142.3936209251
2018-12-28,101628.38024472361
2018-12-31,101851.90064323721
2019-01-02,102161.26579293238
2019-01-03,102828.56522534882
2019-01-04,102136.52254620346
2019-01-07,101976.78348494577
2019-01-08,101821.78255351406
2019-01-09,101731.44590593192
2019-01-10,101348.17083114936
2019-01-11,101585.39062671986
2019-01-14,101365.91212445997
2019-01-15,101151.36701007237
2019-01-16,101194.71961476264
2019-01-17,101212.87345440203
2019-01-18,100925.36996224012
2019-01-22,101304.73444075568
2019-01-23,101285.82933300403
2019-01-24,101655.95980909915
2019-01-25,101388.98865587427
2019-01-28,101334.23436665053
2019-01-29,101636.53529946672
2019-01-30,101596.4792485123
2019-01-31,102109.19798866456
2019-02-01,101738.57990203923
2019-02-04,101463.66598478315
2019-02-05,101751.00573435333
2019-02-06,101785.6750451838
2019-02-07,102202.02547749708
2019-02-08,102473.90215868398
2019-02-11,102229.24348020201
2019-02-12,102063.91926202632
2019-02-13,101816.93042903801
2019-02-14,102204.17938816079
2019-02-15,102306.24556037405
2019-02-19,102470.45227338081
2019-02-20,102291.65457535969
2019-02-21,101701.31951073367
2019-02-22,102092.53327517828
2019-02-25,101911.76969858832
2019-02-26,102223.14161587939
2019-02-27,101519.48029037411
2019-02-28,101313.07167113014
2019-03-01,100748.22253194815
2019-03-04,101213.68544541762
2019-03-05,101334.51636224875
2019-03-06,101552.57143874126
2019-03-07,101941.04982906584
2019-03-08,102207.16441250281
2019-03-11,102024.1083927853
2019-03-12,102468.79960521331
2019-03-13,102353.18236320067
2019-03-14,101900.34575684596
2019-03-15,102319.11130742205
2019-03-18,102286.50504832141
2019-03-19,102150.13791174766
2019-03-20,102812.76081261228
2019-03-21,102956.54759582442
2019-03-22,103967.57897166337
2019-03-25,104087.45471968876
2019-03-26,104038.2235766615
2019-03-27,104708.5257685261
2019-03-28,104966.80583711372
2019-03-29,104900.13459116423
2019-04-01,103860.95009733336
2019-04-02,103997.62560853641
2019-04-03,103372.51515951226
2019-04-04,103567.9481009614
2019-04-05,103658.57724916848
2019-04-08,103421.9875416506
2019-04-09,103638.07715600991
2019-04-10,103805.08726936531
2019-04-11,103410.32204349776
2019-04-12,102933.73991027306
2019-04-15,103106.22368116365
2019-04-16,102689.6265758721
2019-04-17,102715.51051046979
2019-04-18,103049.9384855689
2019-04-22,102748.77909705954
2019-04-23,102886.85799526068
2019-04-24,103407.369318993
2019-04-25,103312.68169879283
2019-04-26,103549.5707202004
2019-04-29,103113.28160994746
2019-04-30,103467.06836493156
2019-05-01,103754.11390675107
2019-05-02,103428.39601448723
2019-05-03,103626.80269533582
2019-05-06,103819.66565592322
2019-05-07,104352.57568740986
2019-05-08,104054.77520162487
2019-05-09,104342.39724459432
2019-05-10,104250.85756954
2019-05-13,104800.55627734194
2019-05-14,104591.143894885
2019-05-15,105049.31573005518
2019-05-16,104803.79536527711
2019-05-17,104972.18044664353
2019-05-20,104821.27247460828
2019-05-21,104705.78880818968
2019-05-22,105134.32591783708
2019-05-23,105976.79845118492
