,EW
2018-05-24,100000.0
2018-05-25,99988.03274853503
2018-05-29,99999.53563046161
2018-05-30,100351.35047017343
2018-05-31,100248.96607773643
2018-06-01,100977.65332077212
2018-06-04,101414.40494230644
2018-06-05,101761.8073461662
2018-06-06,102055.64600975145
2018-06-07,101575.50428490565
2018-06-08,101537.24603008042
2018-06-11,101742.96174759837
2018-06-12,102114.0729098343
2018-06-13,102127.58551190491
2018-06-14,103095.70800875382
2018-06-15,102563.27962199366
2018-06-18,102462.61253264596
2018-06-19,102266.78010263234
2018-06-20,102619.24159768914
2018-06-21,101985.11450266781
2018-06-22,101799.47115004464
2018-06-25,100206.19593581109
2018-06-26,100400.90376347827
2018-06-27,99608.21908787
2018-06-28,99745.94546669973
2018-06-29,99690.4458591867
2018-07-02,99540.37284301786
2018-07-03,98960.3258062519
2018-07-05,99595.16847058327
2018-07-06,100086.01285048091
2018-07-09,100440.59106897002
2018-07-10,100469.87420372249
2018-07-11,100042.26943720845
2018-07-12,101212.58638531416
2018-07-13,101273.82874541968
2018-07-16,101024.1241606837
2018-07-17,101300.11760087623
2018-07-18,101066.60366062421
2018-07-19,100760.76935285478
2018-07-20,100598.50737491889
2018-07-23,100542.80619275564
2018-07-24,100900.2495473099
2018-07-25,101992.95819636296
2018-07-26,100779.60645536182
2018-07-27,99785.33323191914
2018-07-30,98753.6024532426
2018-07-31,99187.65945702113
2018-08-01,99133.79935888093
2018-08-02,99541.58199884504
2018-08-03,99803.11206452451
2018-08-06,100191.38517969259
2018-08-07,100374.96405929336
2018-08-08,100492.92435202049
2018-08-09,100586.13948859645
2018-08-10,100120.6098454996
2018-08-13,99881.08143481033
2018-08-14,100232.72452062293
2018-08-15,99442.61734414291
2018-08-16,99645.635624321
2018-08-17,99765.02109437334
2018-08-20,99872.48210960341
2018-08-21,100073.79668026933
2018-08-22,100422.52998529686
2018-08-23,100255.14133102735
2018-08-24,101130.03309367751
2018-08-27,101831.85114960748
2018-08-28,101761.32534384662
2018-08-29,102709.94688828547
2018-08-30,102552.99705783447
2018-08-31,102570.64885228655
2018-09-04,102134.9538076742
2018-09-05,101142.90736280094
2018-09-06,100613.18450437767
2018-09-07,100245.04773456644
2018-09-10,100477.27401125888
2018-09-11,100881.07213735433
2018-09-12,100794.07142082005
2018-09-13,101485.1588788365
2018-09-14,101155.43072493142
2018-09-17,100129.05199997508
2018-09-18,100518.14925845712
2018-09-19,100417.20439920647
2018-09-20,101305.14030524128
2018-09-21,100825.85756755277
2018-09-24,101017.72772836969
2018-09-25,101127.29475737226
2018-09-26,101149.39555232415
2018-09-27,101781.39023807069
2018-09-28,101766.53544941152
2018-10-01,101804.35380743581
2018-10-02,101847.72607806677
2018-10-03,101645.11349099418
2018-10-04,100057.79156493249
