,sleeve_equity
2018-05-24,100000.0
2018-05-25,99802.84712623061
2018-05-29,99797.9851613986
2018-05-30,99877.07615539845
2018-05-31,99767.28572440454
2018-06-01,99514.71791075038
2018-06-04,99480.95199222269
2018-06-05,99672.1850155885
2018-06-06,99703.41999049598
2018-06-07,99683.89378436626
2018-06-08,99746.32782687314
2018-06-11,99836.08214286479
2018-06-12,99679.8369255364
2018-06-13,99828.17390021664
2018-06-14,99906.24435548905
2018-06-15,99091.12883402343
2018-06-18,99007.1934213152
2018-06-19,98894.56717575146
2018-06-20,98695.44669035843
2018-06-21,98620.45068067819
2018-06-22,98733.55436717905
2018-06-25,98568.23452297827
2018-06-26,98334.76769763115
2018-06-27,98100.24871284609
2018-06-28,97978.05852056661
2018-06-29,98126.20353198357
2018-07-02,97745.65463725646
2018-07-03,98135.15285774882
2018-07-05,98271.58925395262
2018-07-06,98209.49882763883
2018-07-09,98315.10876688984
2018-07-10,98242.54878228248
2018-07-11,97796.18042885842
2018-07-12,97971.70324018688
2018-07-13,97794.35626939838
2018-07-16,97777.73150238083
2018-07-17,97338.35798033123
2018-07-18,97339.0748781799
2018-07-19,97191.76345621794
2018-07-20,97424.74741919606
2018-07-23,97259.11552454188
2018-07-24,97276.00733032178
2018-07-25,97475.55316261336
2018-07-26,97203.47882978978
2018-07-27,97226.51970827344
2018-07-30,97176.5369781364
2018-07-31,97269.8520533595
2018-08-01,97039.21980497651
2018-08-02,96872.36269571261
2018-08-03,96988.38612623124
2018-08-06,96829.80604150228
2018-08-07,96907.00493510296
2018-08-08,97000.95306573261
2018-08-09,96958.98900414724
2018-08-10,96950.30430892206
2018-08-13,96475.6313028969
2018-08-14,96518.30317089258
2018-08-15,96092.72560469381
2018-08-16,96077.73674658118
2018-08-17,96319.66309270749
2018-08-20,96453.71727756767
2018-08-21,96535.00175533019
2018-08-22,96598.05367629271
2018-08-23,96358.29797861268
2018-08-24,96813.62094883552
2018-08-27,96918.00102468395
2018-08-28,96683.13435607385
2018-08-29,96822.85419854331
2018-08-30,96683.92716668296
2018-08-31,96655.88750693097
2018-09-04,96505.68628426219
2018-09-05,96601.07261587046
2018-09-06,96657.4668206155
2018-09-07,96592.07523663876
2018-09-10,96579.54417416538
2018-09-11,96601.45990821112
2018-09-12,96825.61066293438
2018-09-13,96737.3180877582
2018-09-14,96573.1782842854
2018-09-17,96714.61419909302
2018-09-18,96681.46696115247
2018-09-19,96788.5034436906
2018-09-20,96884.04081093078
2018-09-21,96728.04495824277
2018-09-24,96728.53316747522
2018-09-25,96780.85688278465
2018-09-26,96631.14192078027
2018-09-27,96377.73404842429
2018-09-28,96550.83999260962
2018-10-01,96512.57827110776
2018-10-02,96821.40579803444
2018-10-03,96705.74180060327
2018-10-04,96727.52610481411
2018-10-05,96818.95297587366
2018-10-08,96487.14821150522
2018-10-09,96508.91878309028
2018-10-10,96589.67198302035
2018-10-11,97372.31123579563
2018-10-12,97220.96081216953
2018-10-15,97452.53191355882
2018-10-16,97399.44467061858
2018-10-17,97402.19609166536
2018-10-18,97446.03725335619
2018-10-19,97478.12848043491
2018-10-22,97395.7673845137
2018-10-23,97601.02861749372
2018-10-24,97686.03881296908
2018-10-25,97609.0991931252
2018-10-26,97734.10471049542
2018-10-29,97590.85019364266
2018-10-30,97431.40730990189
2018-10-31,97226.77113954743
2018-11-01,97710.51232173294
2018-11-02,97722.3837609637
2018-11-05,97637.3055571269
2018-11-06,97536.05556318545
2018-11-07,97538.32605456663
2018-11-08,97463.0327093061
2018-11-09,97048.3776562784
2018-11-12,96799.99841693071
2018-11-13,96817.35987112985
2018-11-14,97093.79333141922
2018-11-15,97137.12873351361
2018-11-16,97387.6943163837
2018-11-19,97413.39703469124
2018-11-20,97418.93790032185
2018-11-21,97484.85579143163
2018-11-23,97461.95779945803
2018-11-26,97426.3647164103
2018-11-27,97213.05743791886
2018-11-28,97355.1777103677
2018-11-29,97475.04259373524
2018-11-30,97417.1474809139
2018-12-03,97698.78384980976
2018-12-04,97929.59962293184
2018-12-06,97930.61557821091
2018-12-07,98275.3875738724
2018-12-10,98132.438288843
2018-12-11,98083.16793052477
2018-12-12,98184.7901208707
2018-12-13,98089.21089688886
2018-12-14,97912.402692454
2018-12-17,98230.57006564515
2018-12-18,98343.73164156661
2018-12-19,98070.17938591166
2018-12-20,98774.97170977523
2018-12-21,98562.76815543957
2018-12-24,99111.12580452068
2018-12-26,98965.05466339258
2018-12-27,99350.35890375212
2018-12-28,99559.90057975057
2018-12-31,99650.2642199281
2019-01-02,99690.0734656676
2019-01-03,100184.46075669045
2019-01-04,99747.63152800698
2019-01-07,99939.03250039511
2019-01-08,99796.26197707205
2019-01-09,100148.13826334593
2019-01-10,99831.67117004635
2019-01-11,99929.54276554944
2019-01-14,100063.04375996202
2019-01-15,99973.75521039349
2019-01-16,100151.83833544905
2019-01-17,100084.8349106003
2019-01-18,99603.4519311263
2019-01-22,99799.2952509801
2019-01-23,99727.80393732873
