,InvVol
2018-05-24,100000.0
2018-05-25,99965.68113388322
2018-05-29,99996.60625297233
2018-05-30,100983.6302095043
2018-05-31,100688.33631041876
2018-06-01,102791.98277979797
2018-06-04,104132.82963862557
2018-06-05,105187.87457852827
2018-06-06,106146.1048218055
2018-06-07,104547.66246246774
2018-06-08,104433.01045103878
2018-06-11,105072.48292485517
2018-06-12,106255.06391332675
2018-06-13,106282.41794337961
2018-06-14,109342.0892608825
2018-06-15,107684.24533531809
2018-06-18,107370.35873004026
2018-06-19,106708.70112809975
2018-06-20,107931.27429046182
2018-06-21,105786.99705044126
2018-06-22,105172.9391984671
2018-06-25,100112.959335615
2018-06-26,100700.97696039674
2018-06-27,98344.46814034879
2018-06-28,98740.87137494706
2018-06-29,98570.22648875797
2018-07-02,98158.02712401269
2018-07-03,96485.52004893975
2018-07-05,98225.73637384585
2018-07-06,99613.71795012536
2018-07-09,100621.16269436677
2018-07-10,100712.88725284349
2018-07-11,99481.18985996064
2018-07-12,102863.62835994488
2018-07-13,103067.53340189703
2018-07-16,102308.82867929243
2018-07-17,103210.11629610843
2018-07-18,102492.50550346189
2018-07-19,101542.69835133768
2018-07-20,101040.50894268074
2018-07-23,100918.4980294528
2018-07-24,102004.97629267751
2018-07-25,105394.41406548579
2018-07-26,101292.35045693874
2018-07-27,98046.14469145362
2018-07-30,94917.20155457259
2018-07-31,96150.2280793261
2018-08-01,96032.03476366992
2018-08-02,97254.71839948389
2018-08-03,98012.01526202488
2018-08-06,99222.57395938598
2018-08-07,99807.3307017042
2018-08-08,100156.30603731703
2018-08-09,100413.38249317731
2018-08-10,98892.99106281629
2018-08-13,98244.05147909392
2018-08-14,99324.07821784967
2018-08-15,96902.12570618253
2018-08-16,97513.27648308285
2018-08-17,97829.89466446842
2018-08-20,98112.92002469605
2018-08-21,98717.80470744462
2018-08-22,99762.79781937528
2018-08-23,99280.63513300661
2018-08-24,100468.8391389392
2018-08-27,100723.7022350375
2018-08-28,100058.25499807947
2018-08-29,100903.85764044209
2018-08-30,100738.58543437145
2018-08-31,100603.86290532805
2018-09-04,99847.0912302128
2018-09-05,99195.35603312959
2018-09-06,99116.58852894849
2018-09-07,98420.61963164
2018-09-10,98716.68818693206
2018-09-11,98632.54730515197
2018-09-12,98973.60715657001
2018-09-13,99351.55379273181
2018-09-14,98725.27825606374
2018-09-17,98273.93757067894
2018-09-18,97980.337369467
2018-09-19,97807.44477464343
2018-09-20,98649.67359030561
2018-09-21,98143.21085046901
2018-09-24,98160.77914469538
2018-09-25,98249.71121789483
2018-09-26,98370.58572760414
2018-09-27,98429.40374780589
2018-09-28,98532.91146555277
2018-10-01,98201.34771350562
2018-10-02,98876.26153395852
2018-10-03,97886.82122700814
2018-10-04,96724.30440424159
2018-10-05,96028.05504854984
2018-10-08,95230.46703536625
2018-10-09,95701.93399052447
2018-10-10,95066.69188401979
2018-10-11,96566.65718082356
2018-10-12,96430.4003843347
2018-10-15,96739.49698202235
