,equity
2018-05-24,100000.0
2018-05-25,100145.1788117857
2018-05-29,99236.79206450057
2018-05-30,100476.6155483973
2018-05-31,100362.10567536709
2018-06-01,103078.56697794856
2018-06-04,104772.1710641777
2018-06-05,105496.74735901595
2018-06-06,106696.59587182918
2018-06-07,104851.93596130756
2018-06-08,104801.83495418605
2018-06-11,105405.26732793979
2018-06-12,106659.69838032019
2018-06-13,106569.56793271964
2018-06-14,109030.4903087157
2018-06-15,108203.98324958827
2018-06-18,108021.80281269795
2018-06-19,107287.35698861582
2018-06-20,108957.59364963662
2018-06-21,106880.73868654689
2018-06-22,106210.21890785905
2018-06-25,101491.47968312299
2018-06-26,102255.7143360471
2018-06-27,99657.83785587881
2018-06-28,100188.0676462107
2018-06-29,100041.94949826034
2018-07-02,100014.57106599919
2018-07-03,97569.99014239179
2018-07-05,99205.30591950043
2018-07-06,100586.22186936406
2018-07-09,101893.87508982318
2018-07-10,102058.7805908555
2018-07-11,100996.6937523772
2018-07-12,104373.15257531925
2018-07-13,104593.972631813
2018-07-16,104086.47479069361
2018-07-17,105481.16308108601
2018-07-18,104995.59861927772
2018-07-19,103873.134461796
2018-07-20,103782.78206742264
2018-07-23,104422.36403486563
2018-07-24,105333.26512021192
2018-07-25,108515.63501291483
2018-07-26,105034.67391043306
2018-07-27,101749.3952883633
2018-07-30,98674.17953442765
2018-07-31,99686.52655943789
2018-08-01,100163.62202991403
2018-08-02,101576.90823708966
2018-08-03,102037.11665431093
2018-08-06,103419.75675435048
2018-08-07,104168.04480002717
2018-08-08,104386.23979352678
2018-08-09,104317.72440783346
2018-08-10,102481.78404394622
2018-08-13,102338.29379592344
2018-08-14,103528.98369169602
2018-08-15,101164.7577801872
2018-08-16,101829.44680905367
2018-08-17,101869.963188759
2018-08-20,101698.74382263912
2018-08-21,102428.9619965758
2018-08-22,103253.71266390248
2018-08-23,102897.26196453188
2018-08-24,105000.61746137004
2018-08-27,107345.34382893212
2018-08-28,107703.78858617088
2018-08-29,110403.32263129996
2018-08-30,109955.68769511647
2018-08-31,110152.50606568399
2018-09-04,109258.90186743016
2018-09-05,106231.94266948922
2018-09-06,104364.07324913124
2018-09-07,103694.28836973135
2018-09-10,104246.25425207644
2018-09-11,105817.09490218674
2018-09-12,105195.84311209348
2018-09-13,107343.0753605639
2018-09-14,106721.199830711
2018-09-17,103405.26699170441
2018-09-18,105118.49303494534
2018-09-19,104946.52455695622
2018-09-20,107380.74230418101
2018-09-21,106084.44392489818
2018-09-24,106776.82167402294
2018-09-25,107106.53182196748
2018-09-26,107026.89670262794
2018-09-27,109275.1365205449
2018-09-28,109148.66474987801
2018-10-01,109630.50441219572
2018-10-02,109153.09442737565
2018-10-03,109400.97523965556
2018-10-04,104642.12176145855
2018-10-05,101860.81892264698
2018-10-08,100712.3948861006
2018-10-09,100979.96458985098
2018-10-10,96752.9812077301
2018-10-11,95818.13791342676
2018-10-12,97394.24335530683
2018-10-15,97241.13907191413
2018-10-16,97878.05977974755
2018-10-17,97889.45115453424
2018-10-18,97469.74054243081
2018-10-19,96992.62592354043
2018-10-22,97344.47538692872
2018-10-23,97115.95928432624
2018-10-24,94024.34032129614
2018-10-25,95166.3062802531
2018-10-26,94766.79284510677
2018-10-29,94647.63846051277
2018-10-30,94988.33202213288
2018-10-31,95239.33966670187
2018-11-01,95520.03025575311
2018-11-02,95362.88862075811
2018-11-05,95520.18561753552
2018-11-06,95700.67097745252
2018-11-07,96300.54925488771
2018-11-08,96262.40036166646
2018-11-09,95928.97950487619
2018-11-12,95292.3482460419
2018-11-13,95254.5991471514
2018-11-14,94283.60086556489
2018-11-15,94577.07482677411
2018-11-16,94653.10321364627
2018-11-19,94204.00796191859
