,InvVol
2018-05-24,100000.0
2018-05-25,99881.90666602392
2018-05-29,99459.34883790655
2018-05-30,100059.83157276888
2018-05-31,99886.21128359977
2018-06-01,100322.68294408677
2018-06-04,100434.64446305911
2018-06-05,100651.54969444337
2018-06-06,100993.98385644343
2018-06-07,100696.75436481801
2018-06-08,100681.27306043448
2018-06-11,100872.39975413405
2018-06-12,101011.07466741127
2018-06-13,101101.29599038919
2018-06-14,101473.39082036342
2018-06-15,100700.48572014243
2018-06-18,100678.87853774219
2018-06-19,100304.09792537935
2018-06-20,100519.63115064304
2018-06-21,99954.92925614948
2018-06-22,100237.19132732836
2018-06-25,98972.66388600164
2018-06-26,99254.75029099776
2018-06-27,98752.6535564964
2018-06-28,98863.40194383007
2018-06-29,99053.33758250892
2018-07-02,98565.3312377611
2018-07-03,98227.46130829712
2018-07-05,98779.47559339498
2018-07-06,99190.25561174276
2018-07-09,99582.20750806283
2018-07-10,99561.17028773094
2018-07-11,98591.46523108924
2018-07-12,99462.78147631355
2018-07-13,99549.59561306926
2018-07-16,99142.58974930109
2018-07-17,99346.23698175873
2018-07-18,99315.42074489407
2018-07-19,99089.71621902424
2018-07-20,99130.77905073254
2018-07-23,99152.31781871326
2018-07-24,99490.95732552846
2018-07-25,100404.24417106214
2018-07-26,99591.52728957044
2018-07-27,98921.33874920211
2018-07-30,98345.30692790932
2018-07-31,98551.34641284976
2018-08-01,98284.4481451051
2018-08-02,98544.69691220226
2018-08-03,98749.96616487099
2018-08-06,98979.883175477
2018-08-07,99272.11184377185
2018-08-08,99178.62407594195
2018-08-09,99153.08792397882
2018-08-10,98646.9670558582
2018-08-13,98409.39203389699
2018-08-14,98658.91418810283
2018-08-15,97759.66600159479
2018-08-16,98039.78076289699
2018-08-17,98199.15331698032
2018-08-20,98321.29912717146
2018-08-21,98527.78486353141
2018-08-22,98937.98813908611
2018-08-23,98750.85496825757
2018-08-24,99133.7056199025
2018-08-27,99339.26259503199
2018-08-28,99151.32223809138
2018-08-29,99466.22378673096
2018-08-30,99321.08916785695
2018-08-31,99213.28060445194
2018-09-04,98910.22642523963
2018-09-05,98660.16683461644
2018-09-06,98583.77079910302
2018-09-07,98367.6253490422
2018-09-10,98511.41380707301
2018-09-11,98557.13302732135
2018-09-12,98715.12473736117
2018-09-13,98788.32398688889
2018-09-14,98614.51180775158
2018-09-17,98521.70037340296
2018-09-18,98599.96938744535
2018-09-19,98630.34747106006
2018-09-20,98943.72514405627
2018-09-21,98850.27847958992
2018-09-24,98902.73016849447
2018-09-25,98990.95637288621
2018-09-26,98991.99094167474
2018-09-27,99018.69033689865
2018-09-28,99036.12253081394
2018-10-01,99111.51527437822
2018-10-02,99244.97832470255
2018-10-03,99076.33825768091
2018-10-04,98612.04454322664
2018-10-05,98367.04532219323
2018-10-08,98110.2557781916
2018-10-09,98273.91705112466
2018-10-10,97775.51188131243
2018-10-11,97927.4159612781
2018-10-12,97990.64939026097
2018-10-15,98066.09009467899
2018-10-16,98229.24593908522
2018-10-17,98070.29228192437
2018-10-18,97879.767409558
2018-10-19,97929.39667835747
2018-10-22,97888.29389289481
2018-10-23,97784.87219598003
2018-10-24,97549.43145558645
2018-10-25,97627.06194320842
2018-10-26,97735.96637008063
2018-10-29,97581.65410819079
2018-10-30,97513.12103462579
2018-10-31,97357.27543905166
2018-11-01,97568.16013637304
2018-11-02,97435.02806149496
2018-11-05,97456.42480107158
