,start,end,years,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,longest_dd_days,win_day_pct,best_day,worst_day
Nasdaq (v2.1b),2018-05-24,2026-05-22,7.99,306.34%,19.17%,21.49%,0.93,1.12,-25.11%,0.76,541,56.05%,5.75%,-8.96%
v2.5 InvVol,2018-05-24,2026-05-22,7.99,104.23%,9.34%,7.49%,1.23,1.56,-12.95%,0.72,896,55.40%,2.76%,-3.40%
v2.5 InvVol+lev,2018-05-24,2026-05-22,7.99,545.25%,26.27%,22.15%,1.17,1.45,-35.24%,0.75,929,55.45%,8.18%,-9.93%
v2.6a (bond v2),2018-05-24,2026-05-22,7.99,109.70%,9.71%,7.57%,1.27,1.61,-12.07%,0.80,878,55.00%,3.02%,-3.31%
v2.6a +lev,2018-05-24,2026-05-22,7.99,581.80%,27.14%,22.13%,1.20,1.49,-32.95%,0.82,896,55.20%,8.85%,-9.60%
v2.6b (+EFA),2018-05-24,2026-05-22,7.99,89.13%,8.30%,6.64%,1.24,1.63,-9.18%,0.90,526,56.55%,1.99%,-2.56%
v2.6b +lev,2018-05-24,2026-05-22,7.99,538.11%,26.09%,22.15%,1.16,1.49,-28.46%,0.92,521,56.35%,6.83%,-8.68%
v2.6c (+DBC),2018-05-24,2026-05-22,7.99,82.35%,7.80%,5.94%,1.30,1.66,-9.12%,0.86,498,56.69%,1.79%,-2.60%
v2.6c +lev,2018-05-24,2026-05-22,7.99,609.99%,27.78%,22.49%,1.21,1.48,-31.78%,0.87,516,56.84%,6.70%,-10.94%
v2.6 EW(5),2018-05-24,2026-05-22,7.99,109.68%,9.70%,7.77%,1.23,1.57,-9.79%,0.99,444,57.09%,1.64%,-3.38%
v2.6 InvVol(5),2018-05-24,2026-05-22,7.99,80.01%,7.63%,5.77%,1.31,1.69,-8.12%,0.94,444,57.29%,1.51%,-2.14%
v2.6 InvVol+lev,2018-05-24,2026-05-22,7.99,610.76%,27.80%,22.28%,1.22,1.52,-29.97%,0.93,448,57.24%,5.77%,-9.86%
SPY B&H,2018-05-24,2026-05-22,7.99,209.30%,15.17%,19.29%,0.83,1.02,-33.72%,0.45,488,55.35%,10.50%,-10.94%
QQQ B&H,2018-05-24,2026-05-22,7.99,345.77%,20.56%,23.89%,0.90,1.18,-35.12%,0.59,493,56.50%,12.00%,-11.98%
