,vix,vix_ma,irx,irx_delta,curve_slope,spy_sma,spy_above_sma,qqq_mom,score_vix_level,score_vix_trend,score_rate_easing,score_trend,score_momentum,score_curve,composite
2018-05-24,12.529999732971191,14.07350001335144,1.8600000143051147,0.24199998378753662,0.9559999704360962,231.0511622619629,1,0.22347530389540493,2,1,1,1,1,1,6.0
2018-05-25,13.220000267028809,13.964000034332276,1.8530000448226929,0.2630000114440918,0.9109998941421509,231.17641906738282,1,0.21436316709901093,2,1,1,1,1,1,6.0
2018-05-29,17.020000457763672,14.01850004196167,1.840000033378601,0.23500001430511475,0.7359999418258667,231.3030516052246,1,0.20685674887424432,2,0,1,1,1,1,6.0
2018-05-30,14.9399995803833,13.991000032424926,1.878000020980835,0.25300002098083496,0.7950000762939453,231.44397789001465,1,0.21446706228030044,2,0,1,1,1,1,6.0
2018-05-31,15.430000305175781,13.964000034332276,1.8700000047683716,0.22699999809265137,0.7940000295639038,231.56698188781738,1,0.21411162091370683,2,0,1,1,1,1,6.0
2018-06-01,13.460000038146973,13.842000055313111,1.8680000305175781,0.21800005435943604,0.869999885559082,231.70186988830565,1,0.22839082928281096,2,1,1,1,1,1,6.0
2018-06-04,12.739999771118164,13.740500020980836,1.8650000095367432,0.23000001907348633,0.9200000762939453,231.84062797546386,1,0.2254870829176654,2,1,1,1,1,1,6.0
2018-06-05,12.399999618530273,13.623000001907348,1.902999997138977,0.2680000066757202,0.8590000867843628,231.99704414367676,1,0.2295416067099798,2,1,1,1,1,1,6.0
2018-06-06,11.640000343322754,13.469500017166137,1.899999976158142,0.2569999694824219,0.9129999876022339,232.16527801513672,1,0.24164907741540143,2,1,1,1,1,1,6.0
2018-06-07,12.130000114440918,13.405000019073487,1.8849999904632568,0.19499993324279785,0.8919999599456787,232.3325513458252,1,0.22674333367658583,2,1,1,1,1,1,6.0
2018-06-08,12.180000305175781,13.352500057220459,1.8799999952316284,0.16199994087219238,0.8950001001358032,232.49238151550293,1,0.22553219598701224,2,1,1,1,1,1,6.0
