,w_tqqq,w_spy,w_cash,score,deviation,bands,gate_open
2018-05-24,0.5,0.0,0.5,0.760040262423634,0.057478978737135256,1.0,1
2018-05-25,0.5,0.0,0.5,0.7547946157444642,0.04986932209470263,1.0,1
2018-05-29,0.5,0.0,0.5,0.7342473521833535,0.045843843109517834,1.0,1
2018-05-30,0.5,0.0,0.5,0.6578308756773196,0.02565046454126163,1.0,1
2018-05-31,0.5,0.0,0.5,0.7032199320148554,0.04102320891350164,1.0,1
2018-06-01,0.5,0.0,0.5,0.6924232674557237,0.03167270368224728,1.0,1
2018-06-04,0.5,0.0,0.5,0.7376737803547063,0.06976953211213055,1.0,1
2018-06-05,0.39999999999999997,0.0,0.6000000000000001,0.7507110369302911,0.08844811777680794,2.0,1
2018-06-06,0.39999999999999997,0.0,0.6000000000000001,0.7488259091767852,0.0915772911567565,2.0,1
2018-06-07,0.39999999999999997,0.0,0.6000000000000001,0.7690375709145431,0.10029982266578386,2.0,1
2018-06-08,0.5,0.0,0.5,0.7636413694830161,0.06884996769461948,1.0,1
2018-06-11,0.5,0.0,0.5,0.7669751018215353,0.06391315971319056,1.0,1
2018-06-12,0.5,0.0,0.5,0.774975789672681,0.06740339495535563,1.0,1
2018-06-13,0.39999999999999997,0.0,0.6000000000000001,0.7751937964909438,0.07877812948464036,2.0,1
2018-06-14,0.5,0.0,0.5,0.7593793459837873,0.07046498614652119,1.0,1
2018-06-15,0.39999999999999997,0.0,0.6000000000000001,0.7793188471049476,0.094977522010673,2.0,1
2018-06-18,0.39999999999999997,0.0,0.6000000000000001,0.7733052750134624,0.07625936178076032,2.0,1
2018-06-19,0.5,0.0,0.5,0.7639672212130301,0.065492698491741,1.0,1
2018-06-20,0.5,0.0,0.5,0.7378338817631386,0.04912187686793246,1.0,1
2018-06-21,0.5,0.0,0.5,0.7545732367545036,0.06279912749206074,1.0,1
2018-06-22,0.5,0.0,0.5,0.7185874933445944,0.029886694973038086,1.0,1
2018-06-25,0.6,0.0,0.4,0.7333656842054094,0.014735949487599376,0.0,1
2018-06-26,0.7,0.0,0.30000000000000004,0.6613399051474099,-0.051340138786426404,-1.0,1
2018-06-27,0.7,0.0,0.30000000000000004,0.6811436737782488,-0.043245061686118635,-1.0,1
2018-06-28,0.8,0.0,0.19999999999999996,0.6507886103392756,-0.08124572727322843,-2.0,1
2018-06-29,0.7,0.0,0.30000000000000004,0.6656718981578862,-0.05947575646240688,-1.0,1
2018-07-02,0.7,0.0,0.30000000000000004,0.6852083506606547,-0.054094261854487846,-1.0,1
2018-07-03,0.7,0.0,0.30000000000000004,0.69667121604923,-0.031610806149465764,-1.0,1
2018-07-05,0.7,0.0,0.30000000000000004,0.679578717394323,-0.06165487104244605,-1.0,1
2018-07-06,0.6,0.0,0.4,0.7141905617043208,-0.024638384658121293,-0.0,1
2018-07-09,0.6,0.0,0.4,0.7521662092775391,0.018483797720468154,0.0,1
2018-07-10,0.5,0.0,0.5,0.7699414979918003,0.0445315532587327,1.0,1
2018-07-11,0.5,0.0,0.5,0.7712316261439063,0.045010275249960374,1.0,1
2018-07-12,0.5,0.0,0.5,0.7499094655562687,0.0293568030722291,1.0,1
2018-07-13,0.39999999999999997,0.0,0.6000000000000001,0.7770370114835928,0.07696121538772549,2.0,1
2018-07-16,0.39999999999999997,0.0,0.6000000000000001,0.7834188368035447,0.07841915267965538,2.0,1
2018-07-17,0.5,0.0,0.5,0.7722624446207925,0.06931048347430191,1.0,1
2018-07-18,0.39999999999999997,0.0,0.6000000000000001,0.7800225551602504,0.08604257692317607,2.0,1
2018-07-19,0.39999999999999997,0.0,0.6000000000000001,0.7823549728008045,0.07598300543600223,2.0,1
2018-07-20,0.5,0.0,0.5,0.7703977626700776,0.058952740582198127,1.0,1
2018-07-23,0.5,0.0,0.5,0.7700713333411405,0.05502348183378358,1.0,1
2018-07-24,0.5,0.0,0.5,0.7755887974140078,0.06069243662825352,1.0,1
2018-07-25,0.5,0.0,0.5,0.7711187790981456,0.06661274456084598,1.0,1
2018-07-26,0.39999999999999997,0.0,0.6000000000000001,0.7788730791573485,0.10141741475220156,2.0,1
2018-07-27,0.5,0.0,0.5,0.7793322536318081,0.04477015841536125,1.0,1
2018-07-30,0.6,0.0,0.4,0.7531871740242821,-0.0036410208677540856,-0.0,1
2018-07-31,0.7,0.0,0.30000000000000004,0.7247624334490871,-0.048889751210546395,-1.0,1
2018-08-01,0.7,0.0,0.30000000000000004,0.747292891140866,-0.032262995490535684,-1.0,1
