date,score,prev_w,new_w,equity_open,cost,trail_active,event,pos_return
2018-05-25,6.0,[0. 0. 1.],[1. 0. 0.],100007.38095243771,30.002214285731313,False,,
2018-06-26,6.0,[1. 0. 0.],[0.5 0.  0.5],104125.83654365828,15.618875481548741,True,,
2018-06-27,6.0,[0.50346447 0.         0.49653553],[0.5 0.  0.5],104844.50030972731,0.10896929716865247,True,,
2018-06-28,6.0,[0.48538926 0.         0.51461074],[0.5 0.  0.5],101875.26764389809,0.4465418131418331,True,,
2018-06-29,6.0,[0.51083258 0.         0.48916742],[0.5 0.  0.5],104138.59989451358,0.33842679110723695,True,,
2018-07-02,6.0,[0.4911135 0.        0.5088865],[0.5 0.  0.5],102327.36688173877,0.2727995446300684,True,,
2018-07-03,6.0,[0.5146307 0.        0.4853693],[1. 0. 0.],105419.51161201362,15.350218337575159,False,,
2018-07-05,6.0,[1. 0. 0.],[0.5 0.  0.5],102671.70320254065,15.400755480381097,True,,
2018-07-06,6.0,[0.50565608 0.         0.49434392],[0.5 0.  0.5],103838.7242694117,0.17619616898219703,True,,
2018-07-09,6.0,[0.51350579 0.         0.48649421],[1. 0. 0.],106729.3264939464,15.576959665933485,False,,
2018-07-30,6.0,[1. 0. 0.],[0.5 0.  0.5],108209.24769543199,16.231387154314795,True,,
2018-07-31,6.0,[0.4915814 0.        0.5084186],[0.5 0.  0.5],106409.7260340001,0.2687461329416049,True,,
2018-08-01,6.0,[0.50457868 0.         0.49542132],[0.5 0.  0.5],107401.35268148826,0.1475270306250831,True,,
2018-08-02,6.0,[0.49550519 0.         0.50449481],[0.5 0.  0.5],106452.66623265446,0.14354535963124646,True,,
2018-08-03,6.0,[0.51660883 0.         0.48339117],[1. 0. 0.],110118.70913208809,15.96912351744324,False,,
2018-09-07,6.0,[1. 0. 0.],[0.5 0.  0.5],110559.45673352324,16.583918510028486,True,,
2018-09-10,6.0,[0.50651007 0.         0.49348993],[0.5 0.  0.5],112010.42407621483,0.21875879915063437,True,,
2018-09-11,6.0,[0.49501167 0.         0.50498833],[0.5 0.  0.5],110912.92311413748,0.16598112365530687,True,,
2018-09-12,6.0,[0.50776238 0.         0.49223762],[0.5 0.  0.5],112671.22954916267,0.26237917137185796,True,,
2018-09-13,6.0,[0.50309151 0.         0.49690849],[1. 0. 0.],113381.41883881079,16.902056815903705,False,,
2018-09-18,6.0,[1. 0. 0.],[0.5 0.  0.5],109305.18547802742,16.39577782170411,True,,
2018-09-19,6.0,[0.50542912 0.         0.49457088],[0.5 0.  0.5],110497.81761709461,0.17997181444932694,True,,
2018-09-20,6.0,[0.50408089 0.         0.49591911],[0.5 0.  0.5],111416.28976118506,0.1364034425097678,True,,
2018-09-21,6.0,[0.50515587 0.         0.49484413],[0.5 0.  0.5],112586.48058996575,0.1741444454512685,True,,
2018-09-24,6.0,[0.48851355 0.         0.51148645],[0.5 0.  0.5],110067.2269058915,0.3792846733137328,True,,
2018-09-25,6.0,[0.50688562 0.         0.49311438],[0.5 0.  0.5],111613.172877599,0.23055788424752235,True,,
2018-09-26,6.0,[0.50167593 0.         0.49832407],[0.5 0.  0.5],111997.94496346623,0.05631005812799917,True,,
2018-09-27,6.0,[0.50319695 0.         0.49680305],[0.5 0.  0.5],112728.26283446964,0.10811615424789721,True,,
2018-09-28,6.0,[0.50097172 0.         0.49902828],[1. 0. 0.],112957.25328509515,16.910659149788515,False,,
2018-10-04,6.0,[1. 0. 0.],[0.5 0.  0.5],112716.50337780999,16.907475506671496,True,,
2018-10-05,6.0,[0.4879959 0.        0.5120041],[0.5 0.  0.5],110066.79513498938,0.39637581826200763,True,,
2018-10-08,6.0,[0.48715803 0.         0.51284197],[0.5 0.  0.5],107319.46854120823,0.4134579478677356,True,,
2018-10-09,6.0,[0.49931188 0.         0.50068812],[0.5 0.  0.5],107180.76972220287,0.022125814576248952,True,,
2018-10-10,6.0,[0.49729402 0.         0.50270598],[0.5 0.  0.5],106613.05586819237,0.08654774689227483,True,,
2018-10-10,6.0,,,,,,HARD_STOP,-0.17874069794041325
2018-10-11,5.0,[0.46616447 0.         0.53383553],[0.  0.5 0.5],99864.43009722565,14.979664514583845,True,,
2018-10-12,4.0,[0.         0.49969818 0.50030182],[0.  0.5 0.5],99797.98413416909,0.009036412186880016,True,,
2018-10-15,5.0,[0.         0.49887366 0.50112634],[0.  0.5 0.5],99582.43203814434,0.03364902978887674,True,,
2018-10-16,5.0,[0.         0.50092867 0.49907133],[0.  0.5 0.5],99776.52864763394,0.02779770097846036,True,,
2018-10-17,6.0,[0.         0.50342442 0.49657558],[0.  0.5 0.5],100473.57555534314,0.10321897431766014,True,,
2018-10-18,6.0,[0.         0.49904869 0.50095131],[0.5 0.  0.5],100291.6653245664,15.04374979868496,True,,
2018-10-19,5.0,[0.49034676 0.         0.50965324],[0.4 0.1 0.5],98386.10583928978,2.951583175178694,True,,
2018-10-22,6.0,[0.39841853 0.10021687 0.50136459],[0.5 0.  0.5],98124.17842519938,2.9902794099001406,True,,
2018-10-23,6.0,[0.48555109 0.         0.51444891],[0.5 0.  0.5],95373.88242316988,0.4134146538258407,True,,
2018-10-24,4.0,[0.51001348 0.         0.48998652],[0.25 0.25 0.5 ],97331.38696182647,7.592241683940745,True,,
2018-10-24,4.0,,,,,,HARD_STOP,-0.1759819388778453
2018-10-25,4.0,[0.23317879 0.25185512 0.51496609],[0.  0.5 0.5],94503.9105338803,7.035198565566139,True,,
2018-10-26,4.0,[0.         0.49860861 0.50139139],[0.  0.5 0.5],94243.16741841135,0.03933864511325072,True,,
2018-10-29,4.0,[0.         0.50267035 0.49732965],[0.  0.5 0.5],94757.70150292889,0.07591092638925086,True,,
2018-10-30,4.0,[0.         0.49516052 0.50483948],[0.  0.5 0.5],93857.67866127705,0.13626675528104587,True,,
2018-10-31,4.0,[0.         0.50650903 0.49349097],[0.  0.5 0.5],95104.11558676315,0.18571052188042947,True,,
2018-11-01,4.0,[0.         0.50085333 0.49914667],[0.25 0.25 0.5 ],95275.1299161152,7.17002518562233,True,,
2018-11-02,6.0,[0.2537864 0.2506387 0.4955749],[0.5 0.  0.5],96127.28682816881,7.227965494717704,True,,
2018-11-05,6.0,[0.49115921 0.         0.50884079],[0.5 0.  0.5],94458.55298617516,0.2505263629866166,True,,
2018-11-06,6.0,[0.49674046 0.         0.50325954],[0.5 0.  0.5],93854.95544363123,0.0917772394470755,True,,
2018-11-07,6.0,[0.5146108 0.        0.4853892],[0.5 0.  0.5],96688.8701046943,0.42381046140193057,True,,
2018-11-08,6.0,[0.51021966 0.         0.48978034],[0.5 0.  0.5],98714.97630244591,0.30265003512833855,True,,
2018-11-09,6.0,[0.49160729 0.         0.50839271],[0.5 0.  0.5],97093.93325858771,0.2444642727090914,True,,
2018-11-12,6.0,[0.48871302 0.         0.51128698],[0.5 0.  0.5],94958.95060271693,0.32153998754683644,True,,
2018-11-13,4.0,[0.48511987 0.         0.51488013],[0.25 0.25 0.5 ],92222.72302847929,6.916704227135945,True,,
2018-11-14,5.0,[0.25279941 0.2497015  0.49749909],[0.4 0.1 0.5],92687.81290995907,4.1626514427396835,True,,
2018-11-15,4.0,[0.38663899 0.10054189 0.51281913],[0.25 0.25 0.5 ],90375.14038754732,4.052189427677702,True,,
2018-11-16,6.0,[0.2546621  0.25027868 0.49505923],[0.5 0.  0.5],91281.37342595262,6.853734443580768,True,,
2018-11-19,6.0,[0.50079617 0.         0.49920383],[0.5 0.  0.5],91428.43583070289,0.021837829266348415,True,,
2018-11-20,5.0,[0.4602598 0.        0.5397402],[0.4 0.1 0.5],84704.41823356797,2.5411325470070403,True,,
2018-11-20,5.0,,,,,,HARD_STOP,-0.16037666665786365
2018-11-21,3.0,[0.4129058  0.09799502 0.48909918],[0.  0.5 0.5],86597.69734481494,10.727007431107245,True,,
2018-11-23,3.0,[0.         0.49744383 0.50255617],[0.  0.5 0.5],86154.59400426853,0.06606763670560079,True,,
2018-11-26,3.0,[0.         0.50243437 0.49756563],[0.  0.5 0.5],86584.11008459803,0.0632332100766713,True,,
2018-11-27,6.0,[0.         0.50050302 0.49949698],[0.  0.5 0.5],86679.29945340748,0.013080352111513224,True,,
2018-11-28,6.0,[0.         0.50301808 0.49698192],[0.  0.5 0.5],87213.81699721157,0.0789655677044542,True,,
2018-11-29,6.0,[0.         0.50375913 0.49624087],[0.5 0.  0.5],87882.54279004454,13.28148996511422,True,,
2018-11-30,6.0,[0.5015874 0.        0.4984126],[0.5 0.  0.5],88157.19782119709,0.041982275854703065,True,,
2018-12-03,6.0,[0.52037743 0.         0.47962257],[0.5 0.  0.5],91911.05278029476,0.5618734297571562,True,,
2018-12-04,6.0,[0.49280297 0.         0.50719703],[0.5 0.  0.5],90614.52567109,0.19564651877703784,True,,
