budget,otm,skew,cagr,sharpe,max_dd,calmar,prem_total,payoff_total,net_cost,dd2018,dd2022
0.01,0.05,1.0,0.18685333426056916,0.9211278135991564,-0.23919314646684153,0.781181806504945,13808.365850932594,6162.969277092619,7645.396573839975,-0.07554255791722386,-0.1617757649991025
0.01,0.05,1.3,0.18382572382524942,0.9049093054441898,-0.24708266621479358,0.7439847021297976,13589.221854792238,3457.121782976561,10132.100071815677,-0.07877744416929444,-0.17066450228497743
0.01,0.1,1.0,0.18670657988386097,0.9198728934667296,-0.2253217639720264,0.8286220407321172,13734.78404357439,7096.303087121995,6638.480956452394,-0.08243079069537673,-0.14708813791707698
0.01,0.1,1.3,0.18234810484215336,0.9022204273471195,-0.24678049578724592,0.7389080902056339,13464.984499357708,2467.2075525303317,10997.776946827376,-0.08282070490066229,-0.1704385753276243
0.02,0.05,1.0,0.1819986651804124,0.9134897917216106,-0.22731710996075694,0.8006377751847711,27309.134328471977,12259.385826747954,15049.748501724023,-0.07326744166394794,-0.14852342102029703
0.02,0.05,1.3,0.17599870805315088,0.8820038398639436,-0.24373834866980237,0.7220804974418701,26455.238401041985,6805.035222566194,19650.203178475793,-0.07973178924227842,-0.16639556803656308
0.02,0.1,1.0,0.18162192615031292,0.8797266392545574,-0.20448322990796397,0.88819961535261,27008.417687987283,13872.859506702423,13135.55818128486,-0.08701541583891526,-0.11897014274621354
0.02,0.1,1.3,0.17306103239074733,0.8739884808741648,-0.24323724095347643,0.7114906899632545,25974.359696404732,4784.410445126747,21189.949251277983,-0.08779134921729159,-0.165967919571544
0.03,0.05,1.0,0.1771254527357744,0.9036654143732371,-0.21570955654474577,0.8211293721659121,40504.78546578097,18288.482014632016,22216.303451148957,-0.07100162430578227,-0.1351930506160527
0.03,0.05,1.3,0.16820760993789707,0.8579794445166116,-0.2404554595586499,0.6995374954124062,38633.133699539845,10046.61851295184,28586.515186588003,-0.08068995901883735,-0.1621426955407257
0.03,0.1,1.0,0.1764411896571969,0.8196397849851664,-0.2576134767065966,0.6849066745764657,39815.30340257929,20338.017287079827,19477.28611549946,-0.09158088131481823,-0.0906001574453349
0.03,0.1,1.3,0.16382743631647512,0.8421596286610312,-0.2397367250198611,0.683363953949495,37586.036098532444,6958.256013400049,30627.780085132395,-0.09273896317265218,-0.16153747499921323
